trial,reward,state,params
0,882.506580463934,COMPLETE,"{'learning_rate': 5.6115164153345e-05, 'n_steps': 256, 'batch_size': 128, 'gamma': 0.9700991852018085, 'gae_lambda': 0.9018526044866222, 'clip_range': 0.39097295564859835, 'ent_coef': 0.003771449362774438, 'n_epochs': 4}"
1,798.0366637866782,COMPLETE,"{'learning_rate': 2.3102018878452926e-05, 'n_steps': 1024, 'batch_size': 64, 'gamma': 0.9362698224860755, 'gae_lambda': 0.9410462985795333, 'clip_range': 0.33555278841790415, 'ent_coef': 2.17574842258338e-07, 'n_epochs': 7}"
2,402.5655742423874,COMPLETE,"{'learning_rate': 0.00015304852121831474, 'n_steps': 512, 'batch_size': 64, 'gamma': 0.9096695392866321, 'gae_lambda': 0.9615809723860941, 'clip_range': 0.23204574812188042, 'ent_coef': 6.569472130921924e-08, 'n_epochs': 6}"
3,892.675112904219,COMPLETE,"{'learning_rate': 1.1715937392307055e-05, 'n_steps': 256, 'batch_size': 256, 'gamma': 0.9767381495127503, 'gae_lambda': 0.984554904740777, 'clip_range': 0.3684482051282947, 'ent_coef': 0.00010123111576467842, 'n_epochs': 10}"
4,750.8058956654078,COMPLETE,"{'learning_rate': 1.5030900645056805e-05, 'n_steps': 2048, 'batch_size': 64, 'gamma': 0.9537269122326666, 'gae_lambda': 0.9126831802477287, 'clip_range': 0.34065909422621193, 'ent_coef': 3.1580029096626774e-08, 'n_epochs': 10}"
5,353.5789348561521,COMPLETE,"{'learning_rate': 0.0003503398491158688, 'n_steps': 1024, 'batch_size': 64, 'gamma': 0.9114710368929878, 'gae_lambda': 0.9776793083288035, 'clip_range': 0.2869894380482674, 'ent_coef': 1.6469330427821507e-06, 'n_epochs': 3}"
6,857.8855905572941,COMPLETE,"{'learning_rate': 4.187594718900626e-05, 'n_steps': 2048, 'batch_size': 256, 'gamma': 0.9555664425593802, 'gae_lambda': 0.9693870461959104, 'clip_range': 0.24813867890931726, 'ent_coef': 3.175203351533158e-05, 'n_epochs': 6}"
7,896.460597000257,COMPLETE,"{'learning_rate': 1.1241862095793047e-05, 'n_steps': 1024, 'batch_size': 64, 'gamma': 0.9747995627157618, 'gae_lambda': 0.920591834894246, 'clip_range': 0.12309397294863791, 'ent_coef': 8.73044321215714e-07, 'n_epochs': 4}"
8,899.9159998199185,COMPLETE,"{'learning_rate': 0.0007234279845665417, 'n_steps': 1024, 'batch_size': 64, 'gamma': 0.9887130386924259, 'gae_lambda': 0.9286203127474678, 'clip_range': 0.13301557735830305, 'ent_coef': 3.3645796728451706e-07, 'n_epochs': 6}"
9,172.37014150861492,COMPLETE,"{'learning_rate': 0.0004325432427964555, 'n_steps': 256, 'batch_size': 256, 'gamma': 0.9319970902700547, 'gae_lambda': 0.9466911559569029, 'clip_range': 0.3109056876685534, 'ent_coef': 2.728624655406273e-06, 'n_epochs': 10}"
10,445.9597545123589,COMPLETE,"{'learning_rate': 0.0009096988009583799, 'n_steps': 512, 'batch_size': 32, 'gamma': 0.9945251500537129, 'gae_lambda': 0.9335415453391827, 'clip_range': 0.1116175599883549, 'ent_coef': 0.02688285800607579, 'n_epochs': 8}"
11,884.1141261157326,COMPLETE,"{'learning_rate': 0.00013838713864867123, 'n_steps': 1024, 'batch_size': 64, 'gamma': 0.9948432465282983, 'gae_lambda': 0.9249526203807136, 'clip_range': 0.11220084793303407, 'ent_coef': 1.590053137023203e-06, 'n_epochs': 4}"
12,716.516036272453,COMPLETE,"{'learning_rate': 0.0009590400563352419, 'n_steps': 1024, 'batch_size': 32, 'gamma': 0.974762350204491, 'gae_lambda': 0.919663738814686, 'clip_range': 0.17640740882253314, 'ent_coef': 4.0234672380938516e-07, 'n_epochs': 5}"
13,714.4438782710317,COMPLETE,"{'learning_rate': 6.547213591260601e-05, 'n_steps': 1024, 'batch_size': 128, 'gamma': 0.9814986126564698, 'gae_lambda': 0.9530403849304273, 'clip_range': 0.16112948393935486, 'ent_coef': 1.0708451886723934e-08, 'n_epochs': 8}"
